country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
France,FR,FRA,67012883,,23,23-06-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,11,,03-06-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,34,29-04-2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,,2,22-07-2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,1,08-04-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,129,,16-05-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,03-06-2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,43,,12-09-2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,3912,,07-04-2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,411,,27-06-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,,0,27-07-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2,,01-06-2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,12,,26-05-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,,2,13-09-2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,0,,05-06-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,21,09-05-2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,06-07-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,145,18-05-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,3,,06-03-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,22,31-03-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,0,02-07-2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,0,04-07-2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,330,,08-03-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,1,30-05-2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,461,,02-09-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,86,,22-05-2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,308,,12-04-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,49,07-03-2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,3,,19-08-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,40,29-05-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,0,26-06-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,216,,29-09-2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,07-02-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,63,,20-07-2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,53,,05-04-2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,4,,14-04-2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,,0,26-05-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,235,,08-07-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,0,02-03-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,2,21-08-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,327,,22-07-2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,,0,06-06-2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,,0,24-07-2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,10,16-04-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,147,24-07-2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,239,,29-07-2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,408,,12-07-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,30,,29-09-2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,09-07-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,0,10-06-2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,8149,,21-10-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,338,,21-08-2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,63,,07-08-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,,0,23-07-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,86,,05-07-2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,0,0,05-03-2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,,82,24-10-2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,,0,26-08-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,4789,,24-03-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,444,,07-09-2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,,28,11-04-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,0,25-07-2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,04-08-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,09-02-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,24-01-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,4870,,22-08-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,16-01-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,0,03-02-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,21,,09-06-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,378,,11-07-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,101,,30-04-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,0,0,26-01-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,13-02-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,105,30-04-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,8952,,31-05-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,,14,17-10-2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,0,0,13-01-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,3,24-07-2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,0,0,29-02-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,0,03-08-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,0,07-03-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,,3,10-04-2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,721,,27-06-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,23,23-06-2020,"Epidemic intelligence, national daily data"
